Source_Name,Signif_Avg,Pivot_Energy,Flux_Density,Flux1000,Energy_Flux100,Signif_Curve,Spectral_Index,PowerLaw_Index,Flux100_300,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_100000,Variability_Index,CLASS1
3FGL J0244.4-8224,5.0641193,487.05368,2.8573647E-12,2.4770774E-10,4.6435967E-12,0.21513289,2.679042,2.679042,1.2573585E-08,8.70714E-10,2.5577576E-10,5.769765E-11,7.9229565E-15,52.222866,bcu
3FGL J0249.1+8438,8.424593,2065.1604,1.06196735E-13,4.371793E-10,4.9124984E-12,0.06279615,2.146708,2.146708,5.0939253E-09,1.6998503E-09,2.1312892E-10,1.1973936E-10,3.008059E-11,53.40058,bcu
3FGL J0250.6+5630,7.782593,4604.156,3.4344106E-14,7.169661E-10,8.029173E-12,0.068186976,1.9904389,1.9904389,5.9058625E-09,2.1055246E-09,2.8639463E-10,1.7878882E-10,6.724198E-11,45.13623,bcu
3FGL J0253.5+3216,9.863867,2454.3447,1.0496409E-13,6.2492217E-10,6.9424883E-12,0.22028816,2.052277,2.052277,7.573502E-09,1.541819E-09,4.2800796E-10,8.9454576E-11,8.7659734E-11,185.03937,bcu
3FGL J0255.8+0532,4.2910724,2672.4612,4.8037983E-14,3.4105818E-10,3.788784E-12,1.3195761,2.0696893,2.0696893,2.3122844E-09,0.000000001,2.0483391E-10,8.6113734E-11,1.4151249E-11,39.961754,bcu
3FGL J0256.3+0335,6.1919956,4632.702,1.7336725E-14,3.4840864E-10,4.0428633E-12,0.23239303,1.8960623,1.8960623,2.5835578E-09,1.0994731E-09,2.1569126E-10,7.3762586E-11,2.9823654E-11,39.86724,bcu
3FGL J0301.4-1652,5.2169375,1447.5405,1.6710133E-13,3.2023326E-10,3.6021227E-12,2.6316092,2.1504505,2.1504505,2.2597932E-11,1.1743309E-09,3.0818495E-10,6.5829744E-11,9.211122E-12,56.923004,bcu
3FGL J0301.8-7157,10.3569975,406.13663,7.1411423E-12,3.3470615E-10,7.1727103E-12,0.1547332,2.7657125,2.7657125,1.3769977E-08,2.2547335E-09,3.5035816E-10,4.147061E-11,2.934444E-15,110.47944,bcu
3FGL J0301.8-2721,4.27282,1742.0587,7.4179114E-14,2.1125567E-10,2.3814596E-12,1.2547286,2.1578403,2.1578403,1.6263513E-10,4.869454E-10,2.409306E-10,3.638544E-11,9.2547E-12,27.028362,bcu
3FGL J0302.0+5335,5.510328,1276.6189,4.142133E-13,5.36505E-10,6.9422914E-12,0.71043444,2.378005,2.378005,6.2692465E-09,3.356334E-09,5.193362E-10,5.2694214E-11,2.5199122E-11,64.66781,bcu
3FGL J0303.0+3150,4.175245,1167.1904,3.156534E-13,3.42648E-10,4.204237E-12,2.215405,2.3149447,2.3149447,3.4041787E-09,1.3985664E-09,2.7597633E-10,1.1764517E-10,1.0025142E-15,40.46474,bcu
3FGL J0304.9+6817,13.962613,295.5357,4.5674294E-11,7.7320367E-10,1.8847118E-11,0.604652,2.8442733,2.8442733,4.756798E-08,5.5011338E-09,8.758753E-10,9.281216E-11,2.2936195E-11,62.427082,bcu
3FGL J0305.2-1607,5.635294,6247.779,7.0749376E-15,2.171774E-10,2.9774367E-12,2.098304,1.6884986,1.6884986,2.7087904E-12,6.342703E-10,7.676603E-11,6.256579E-11,5.049493E-11,39.80242,bcu
3FGL J0310.4-5015,8.389963,4489.4907,1.8154628E-14,3.2498454E-10,4.17928E-12,2.4685118,1.7536088,1.7536088,7.976204E-10,9.362806E-11,1.941668E-10,1.05929356E-10,5.0843402E-11,69.37219,bcu
3FGL J0318.7+2134,12.378512,4041.601,5.8342884E-14,8.877599E-10,1.0675424E-11,0.32167694,1.8372924,1.8372924,2.8441707E-09,1.9295643E-09,5.0039894E-10,2.041136E-10,1.449867E-10,98.323616,bcu
3FGL J0326.0-1842,4.9501677,2016.9633,6.5474807E-14,2.542974E-10,2.9188906E-12,1.2500378,2.2055283,2.2055283,5.505525E-09,8.2270574E-10,5.9857654E-11,9.721583E-11,1.9820442E-11,43.239113,bcu
